0,52,60,27,87,7,18,33,57,26,70,28,75,96,45,9,90,15,66,49,9,78,91,57,56,57,40,1,61,87,80,12,4,12,22,98,0,39,26,10,51,4,59,42,90,14,44,18,67,32,20,85,75,57,8,55,13,9,28,56,73,74,2,22,3,83,49,52,53,0,76,69,85,31,98,94,78,87,47,28,13,90,90,43,99,2,19,36,3,85,77,35,2,65,46,84,90,89,64,68
90,34,51,99,6,4,84,10,31,62,73,12,62,22,22,25,99,64,96,91,38,70,97,10,98,1,5,96,82,95,41,32,16,14,75,88,65,55,30,51,69,5,81,42,14,43,60,90,24,98,42,34,12,11,24,9,5,3,42,92,51,52,3,21,73,15,88,5,88,1,30,55,33,42,40,85,47,86,4,36,52,99,90,78,23,35,1,37,10,81,33,5,73,35,9,57,97,17,23,80
14,92,28,15,26,68,49,0,57,94,83,43,24,88,30,39,10,60,10,75,75,21,3,97,59,3,83,90,97,17,17,48,55,53,90,20,67,88,9,45,77,32,11,88,31,39,71,68,3,31,14,30,98,83,40,16,91,51,57,42,16,61,11,90,13,38,33,65,14,22,66,17,23,70,71,9,71,4,42,49,1,68,98,86,64,46,18,24,16,27,53,82,3,97,13,79,62,59,97,39
44,25,38,15,54,8,39,13,66,59,40,73,93,75,65,23,74,30,20,9,13,78,15,47,63,63,87,19,85,46,16,74,23,38,91,50,11,96,96,62,48,68,84,1,38,68,24,59,89,5,84,83,2,62,55,93,93,18,55,80,69,55,61,87,73,60,47,59,10,87,34,42,82,14,93,2,54,4,6,38,19,0,65,60,10,97,15,94,36,36,61,52,35,85,79,71,30,66,39,51
86,52,21,38,72,42,40,89,2,68,27,9,97,98,40,66,23,40,8,6,24,25,56,96,51,92,90,19,96,13,57,86,79,38,89,66,47,39,54,30,74,58,11,10,98,41,71,32,77,27,18,56,68,81,2,62,24,41,13,39,12,61,85,70,46,65,96,81,69,11,53,9,41,89,75,87,30,91,46,80,33,28,95,24,60,97,85,43,20,80,50,48,80,3,85,43,16,28,50,38
60,19,56,93,16,59,39,74,28,24,12,74,80,16,24,92,35,76,3,86,86,79,20,23,97,56,16,37,36,35,94,39,29,90,66,37,92,16,27,61,38,1,54,82,84,53,39,81,67,86,25,39,12,61,59,81,77,8,25,21,90,29,47,56,20,56,15,56,99,50,59,52,39,80,77,89,28,56,94,78,58,0,63,44,70,98,66,24,96,59,53,42,21,36,85,25,34,71,90,28
84,60,43,38,32,39,80,73,62,36,35,5,74,4,49,6,45,64,33,30,74,59,1,97,51,0,69,54,37,36,19,93,73,80,32,68,98,67,38,19,27,37,68,87,5,27,22,26,87,32,6,43,32,97,47,5,58,26,88,4,50,72,94,1,65,69,61,61,57,2,64,88,50,7,76,66,17,86,9,9,74,49,33,38,83,97,76,42,0,1,18,47,58,24,11,27,40,83,23,36
70,66,16,23,61,2,61,37,97,0,32,32,12,72,72,99,74,86,10,94,93,9,44,97,36,6,81,36,34,92,15,54,78,52,5,74,61,52,33,92,11,44,66,93,24,53,82,72,17,50,23,89,57,92,47,87,52,9,97,67,89,92,52,82,0,35,67,39,10,57,50,49,3,9,51,18,18,72,36,11,26,46,50,15,33,92,68,75,71,54,95,30,39,67,59,68,39,91,51,73
52,42,88,53,25,92,91,70,17,46,22,62,65,1,94,83,65,3,39,37,69,37,10,66,83,81,16,16,29,1,27,41,8,12,96,24,13,22,5,87,51,69,70,26,19,18,4,98,89,26,69,86,96,33,14,90,47,31,65,76,77,93,82,59,76,55,49,46,75,6,72,59,84,14,53,45,70,82,29,42,6,53,89,9,84,94,5,65,21,82,58,97,51,62,27,16,24,51,91,35
50,0,7,80,48,63,78,10,55,29,68,80,12,58,33,74,8,70,56,58,91,80,33,40,60,58,96,83,94,36,54,39,26,9,80,43,18,52,96,86,78,19,26,51,1,3,4,17,51,97,59,38,38,2,88,53,79,57,14,36,68,29,48,28,42,38,0,8,86,28,44,55,80,69,5,48,45,21,92,62,89,72,62,72,75,79,42,73,16,60,41,91,44,82,69,49,62,72,53,75
65,27,38,56,72,57,64,17,5,51,8,9,54,6,35,15,83,74,8,47,64,16,17,3,96,55,55,90,7,99,89,6,71,88,6,79,49,22,9,22,81,99,95,25,71,94,49,90,84,8,70,46,91,34,70,24,91,80,51,43,18,79,23,39,68,49,4,83,77,23,30,37,7,6,9,65,41,50,12,59,84,25,56,74,42,32,63,72,76,67,70,16,46,1,99,85,19,85,46,14
36,36,16,3,53,97,43,95,8,73,46,30,73,49,23,40,89,86,63,98,31,71,67,35,9,10,48,68,13,77,78,13,43,67,29,33,16,58,61,67,54,97,53,41,1,51,96,79,87,84,67,77,47,19,90,70,85,34,41,62,84,79,11,96,19,2,46,73,42,34,24,50,39,10,63,18,44,30,99,86,33,25,67,87,74,86,6,28,59,43,3,1,3,9,19,57,58,15,57,60
53,56,58,46,56,9,21,43,9,90,95,9,40,92,66,62,2,25,9,86,32,19,78,98,95,19,11,89,35,67,4,41,57,53,52,37,68,44,28,79,55,67,1,82,80,41,19,34,39,35,86,96,87,0,28,12,8,26,92,31,0,98,55,80,12,7,76,0,50,16,78,25,9,71,46,73,46,65,55,31,21,81,81,4,68,77,78,37,55,21,95,69,4,38,79,53,12,75,50,49
38,67,8,30,24,36,9,41,0,79,72,16,74,49,14,21,88,1,80,33,51,95,3,5,95,8,66,88,74,51,29,66,13,28,13,31,98,16,88,59,41,58,5,38,63,93,54,54,64,15,71,16,23,31,20,88,49,72,43,74,27,80,14,89,11,94,31,94,31,67,73,90,31,40,65,97,89,95,27,2,61,97,54,29,7,41,17,45,35,86,51,48,78,51,83,14,2,95,73,32
70,11,19,98,84,69,47,44,8,71,98,51,28,0,9,13,7,66,47,37,34,84,8,86,49,29,33,90,98,32,13,83,31,40,47,59,11,92,58,33,30,83,7,33,34,49,62,72,33,71,53,83,49,92,65,8,80,70,71,8,16,59,12,89,13,32,90,2,74,11,50,21,63,46,9,71,74,41,61,18,96,77,40,99,22,59,49,94,80,89,67,93,23,65,6,69,30,7,57,36
71,35,25,92,10,9,72,46,73,95,80,58,5,5,87,54,8,8,90,64,89,36,1,47,84,49,36,35,30,4,33,44,66,79,40,12,27,69,45,32,59,69,59,87,36,54,44,31,39,3,10,90,58,43,26,68,27,79,91,16,76,49,90,16,53,29,95,58,20,30,3,22,43,16,85,77,70,50,22,77,29,83,88,82,85,82,38,60,56,49,72,81,25,81,65,68,77,67,29,59
6,29,77,36,85,76,37,17,97,34,10,75,88,46,7,22,35,79,88,83,64,50,40,91,84,19,30,34,1,30,82,99,19,60,33,1,58,55,83,56,51,29,16,81,72,15,85,59,64,63,76,97,0,40,44,71,15,99,12,62,45,44,67,24,66,45,4,85,78,96,7,25,2,22,71,80,42,37,98,28,50,77,74,46,14,27,50,8,54,97,30,94,88,15,93,7,16,19,45,98
48,91,78,59,83,45,97,83,28,7,15,15,15,86,19,26,22,75,11,15,25,67,92,46,53,70,86,84,48,23,75,64,51,90,62,89,4,79,90,58,99,92,98,37,78,85,79,13,98,81,36,42,2,75,98,54,13,84,82,2,64,90,67,91,4,98,54,62,47,94,7,10,78,69,27,12,83,34,73,5,86,16,84,70,4,12,29,47,68,10,28,97,96,46,22,74,23,88,46,95
